Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.044281,0.0053564,0.22486,0,0,0,2.5717,0.035778,-4.2126E-07,-6.583E-07,0.025379,4.5907E-11,0.040031,0,0,0,0,0,0,package://completed_amr/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/base_link.STL,,khung_robot_amr-1/tang_1-2;khung_robot_amr-1/tang_2-1;khung_robot_amr-1/nhom_2020_15cm-2;khung_robot_amr-1/nhom_2020_20cm-2;khung_robot_amr-1/SNSD20x20-11;khung_robot_amr-1/nhom_2020_40cm-3;khung_robot_amr-1/nhom_2020_15cm-1;khung_robot_amr-1/nhom_2020_35cm-1;khung_robot_amr-1/nhom_2020_30cm-3;khung_robot_amr-1/SNSD20x20-17;khung_robot_amr-1/SNSD20x20-1;khung_robot_amr-1/nhom_2020_30cm-2;khung_robot_amr-1/SNSD20x20-4;khung_robot_amr-1/SNSD20x20-15;khung_robot_amr-1/SNSD20x20-16;khung_robot_amr-1/nhom_2020_40cm-4;khung_robot_amr-1/SNSD20x20-12;khung_robot_amr-1/nhom_2020_30cm-4;khung_robot_amr-1/nhom_2020_40cm-2;khung_robot_amr-1/SNSD20x20-6;khung_robot_amr-1/SNSD20x20-5;khung_robot_amr-1/SNSD20x20-10;khung_robot_amr-1/SNSD20x20-9;khung_robot_amr-1/nhom_2020_30cm-6;khung_robot_amr-1/SNSD20x20-22;khung_robot_amr-1/SNSD20x20-23;khung_robot_amr-1/SNSD20x20-24;khung_robot_amr-1/tang_3-2;khung_robot_amr-1/nhom_2020_30cm-5;khung_robot_amr-1/SNSD20x20-19;khung_robot_amr-1/SNSD20x20-20;khung_robot_amr-1/nhom_2020_40cm-5;khung_robot_amr-1/SNSD20x20-21;khung_robot_amr-1/SNSD20x20-14;khung_robot_amr-1/SNSD20x20-13;khung_robot_amr-1/SNSD20x20-8;khung_robot_amr-1/SNSD20x20-7;khung_robot_amr-1/nhom_2020_30cm-7;khung_robot_amr-1/nhom_2020_30cm-1;khung_robot_amr-1/nhom_2020_20cm-1;khung_robot_amr-1/motor1-2/gia_do_jgb37_520-1;khung_robot_amr-1/tam_lot_4mm-2;khung_robot_amr-1/nhom_2020_40cm-1;khung_robot_amr-1/nhom_2020_35cm-2;khung_robot_amr-1/tam_lot_4mm-1;khung_robot_amr-1/motor1-1/gia_do_jgb37_520-1;khung_robot_amr-1/SNSD20x20-18;khung_robot_amr-1/nhom_2020_700mm-1;khung_robot_amr-1/nhom_2020_700mm-2;khung_robot_amr-1/nhom_2020_19mm-1;khung_robot_amr-1/SNSD20x20-32;khung_robot_amr-1/thanh_truot_nang_1m-1/nhom_2020_15cm-1;khung_robot_amr-1/SNSD20x20-31;khung_robot_amr-1/gia_do_jgb37_520-1;khung_robot_amr-1/dem_motor_tren-1;khung_robot_amr-1/SNSD20x20-27;khung_robot_amr-1/SNSD20x20-25;khung_robot_amr-1/SNSD20x20-26;khung_robot_amr-1/SNSD20x20-28;khung_robot_amr-1/SNSD20x20-29;khung_robot_amr-1/SNSD20x20-30,imu,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_encoder_wheel_right_link,-1.5144E-06,0.0002918,3.6518E-06,0,0,0,0.024134,7.2664E-06,3.4128E-10,-1.5121E-10,1.4069E-05,-8.2298E-10,7.2667E-06,0,0,0,0,0,0,package://completed_amr/meshes/front_encoder_wheel_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/front_encoder_wheel_right_link.STL,,banh_nhom-2/vanh_caosu-1;banh_nhom-2/vanh_nhom-1,front_encoder_wheel_right,Axis_front_encoder_wheel_right_joint,front_encoder_wheel_right_joint,continuous,0.074022,-0.23078,-0.063003,0,0,0,base_link,0,1,0,,,,,,,,,,,,
front_encoder_wheel_left_link,1.5219E-06,-0.0002918,3.9534E-06,0,0,0,0.024134,7.2664E-06,5.0968E-15,8.5059E-17,1.4069E-05,8.9093E-10,7.2668E-06,0,0,0,0,0,0,package://completed_amr/meshes/front_encoder_wheel_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/front_encoder_wheel_left_link.STL,,banh_nhom-1/vanh_caosu-1;banh_nhom-1/vanh_nhom-1,front_encoder_wheel_left,Axis_front_encoder_wheel_left_joint,front_encoder_wheel_left_joint,continuous,0.074022,0.24142,-0.063003,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rear_caster_stear_right_link,0.0038212,0.00010359,-0.0060358,0,0,0,0.017982,4.1875E-06,-3.0281E-10,4.8429E-07,4.6848E-06,1.9965E-09,6.7911E-06,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_stear_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_stear_right_link.STL,,banh_xe_360_2inch-1/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/CASTER-RODA-PLATE-SWIVEL-2INCH-BRACKET.STEP-1;banh_xe_360_2inch-1/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/M6X40-HEX_91280A342.STEP-1;banh_xe_360_2inch-1/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/M6 Nut.STEP-1,caster_right,,rear_caster_stear_right_joint,continuous,-0.20168,-0.18778,-0.030503,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rear_caster_wheel_right_link,0,2.2204E-16,0,0,0,0,0.029434,6.2759E-06,-1.454E-23,-1.1292E-21,1.0557E-05,1.483E-20,6.2759E-06,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_wheel_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_wheel_right_link.STL,,banh_xe_360_2inch-1/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/CASTER-RODA-PLATE-FIX-2INCH-WHELL.STEP-1,rear_caster_wheel_right,,rear_caster_wheel_right_link,continuous,0.017,0,-0.0405,0,0,0,rear_caster_stear_right_link,0,1,0,,,,,,,,,,,,
rear_caster_stear_left_link,0.0038212,0.00010359,-0.0059374,0,0,0,0.017982,4.1875E-06,-3.0273E-10,4.8429E-07,4.6848E-06,1.9966E-09,6.7911E-06,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_stear_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_stear_left_link.STL,,banh_xe_360_2inch-2/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/CASTER-RODA-PLATE-SWIVEL-2INCH-BRACKET.STEP-1;banh_xe_360_2inch-2/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/M6X40-HEX_91280A342.STEP-1;banh_xe_360_2inch-2/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/M6 Nut.STEP-1,caster_left,,rear_caster_stear_left_joint,continuous,-0.20168,0.19842,-0.030503,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rear_caster_wheel_left_link,-1.1102E-16,-2.2204E-16,9.8478E-05,0,0,0,0.029434,6.2759E-06,-1.454E-23,-1.1292E-21,1.0557E-05,1.482E-20,6.2759E-06,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_wheel_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/rear_caster_wheel_left_link.STL,,banh_xe_360_2inch-2/CASTER-RODA-PLATE-SWIVEL-2INCH.STEP-1/CASTER-RODA-PLATE-FIX-2INCH-WHELL.STEP-1,rear_caster_wheel_left,,rear_caster_wheel_left_joint,continuous,0.017,0,-0.0405,0,0,0,rear_caster_stear_left_link,0,1,0,,,,,,,,,,,,
camera_link,-0.0075697,-2.4055E-05,-0.0052733,0,0,0,0.22579,0.00040864,3.0332E-08,8.8901E-08,4.9391E-05,-4.0148E-09,0.0004303,0,0,0,0,0,0,package://completed_amr/meshes/camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/camera_link.STL,,astra v1-1/Astra_1-1;astra v1-1/astra_clip1-1;astra v1-1/astra_clip2-1,camera,,camera_joint,fixed,0.091175,-0.17618,0.36182,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,0.0047186,-0.00038608,-0.0073008,0,0,0,0.14165,5.691E-05,-2.879E-07,1.2475E-05,8.9322E-05,-7.2186E-07,0.0001087,0,0,0,0,0,0,package://completed_amr/meshes/lidar_link.STL,0.21176,0.21176,0.20392,1,0,0,0,0,0,0,package://completed_amr/meshes/lidar_link.STL,,Lidar A1M8-1,lidar,Axis_lidar_joint,lidar_joint,fixed,-0.034802,-0.0038905,0.10975,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,-0.068622,0.005266,-0.0015,0,0,0,0.43383,0.006634,-4.4601E-07,3.7804E-21,0.0039709,-4.1216E-17,0.010604,0,0,0,0,0,0,package://completed_amr/meshes/imu_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://completed_amr/meshes/imu_link.STL,,khung_robot_amr-1/tang_1-2,imu,,imu_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
